s_A[mm],s_B[mm]
-1.3 \times 10^{-2},-1.8 \times 10^{-3}
-2.4 \times 10^{-2},-3.0 \times 10^{-3}
-3.4 \times 10^{-2},-3.9 \times 10^{-3}
-4.4 \times 10^{-2},-5.0 \times 10^{-3}
-5.4 \times 10^{-2},-5.9 \times 10^{-3}
-6.4 \times 10^{-2},-6.5 \times 10^{-3}
-7.4 \times 10^{-2},-7.8 \times 10^{-3}
-8.4 \times 10^{-2},-9.0 \times 10^{-3}
-9.3 \times 10^{-2},-9.9 \times 10^{-3}
6.5 \times 10^{-3},0.0
1.7 \times 10^{-2},1.1 \times 10^{-3}
2.2 \times 10^{-2},1.9 \times 10^{-3}
2.6 \times 10^{-2},2.5 \times 10^{-3}
3.2 \times 10^{-2},2.8 \times 10^{-3}
3.6 \times 10^{-2},3.1 \times 10^{-3}
4.1 \times 10^{-2},3.7 \times 10^{-3}
4.6 \times 10^{-2},4.0 \times 10^{-3}
5.1 \times 10^{-2},4.8 \times 10^{-3}
5.6 \times 10^{-2},5.3 \times 10^{-3}
6.1 \times 10^{-2},6.0 \times 10^{-3}
6.7 \times 10^{-2},6.5 \times 10^{-3}
7.1 \times 10^{-2},6.8 \times 10^{-3}
7.6 \times 10^{-2},7.0 \times 10^{-3}
8.2 \times 10^{-2},8.0 \times 10^{-3}
8.6 \times 10^{-2},8.4 \times 10^{-3}
