m,D,degree,minute,second
0.0,0.0,0.0,0.0,0.0
1.0,0.0,6.0,47.0,0.0
2.0,0.0,13.0,39.0,0.0
3.0,2.0,20.0,42.0,30.0
3.0,1.0,20.0,44.0,0.0
4.0,2.0,28.0,8.0,0.0
4.0,1.0,28.0,10.0,0.0
5.0,2.0,36.0,7.0,0.0
5.0,1.0,36.0,9.0,0.0
6.0,2.0,45.0,1.0,0.0
6.0,1.0,45.0,4.0,30.0
7.0,2.0,55.0,37.0,0.0
7.0,1.0,55.0,41.0,0.0
8.0,2.0,70.0,25.0,30.0
8.0,1.0,70.0,34.0,30.0
-1.0,0.0,6.0,45.0,30.0
-2.0,0.0,13.0,38.0,30.0
-3.0,2.0,20.0,42.0,30.0
-3.0,1.0,20.0,43.0,30.0
-4.0,2.0,28.0,7.0,30.0
-4.0,1.0,28.0,9.0,30.0
-5.0,2.0,36.0,7.0,0.0
-5.0,1.0,36.0,9.0,30.0
-6.0,2.0,45.0,1.0,0.0
-6.0,1.0,45.0,5.0,0.0
-7.0,2.0,55.0,37.0,30.0
-7.0,1.0,55.0,42.0,30.0
-8.0,2.0,70.0,36.0,0.0
-8.0,1.0,70.0,47.0,30.0
